text,label_index,label_name,dataset
"yea , i should know .. but tell me everything ! ps : send me direct messages telling .. haha",1,neutral,train
both electronic keys stopped working . there is no keyhole ! cant get in my car . so much for technology,0,negative,train
just woke up : o mums singing to her new gn ` r cd replacement i bought because im a good daughter,2,positive,train
"that ` s awesome dude , yay for surprise celebrities ! i got to meet him a few years ago , he was soooo friendly .",2,positive,train
i ` m missing crab legs and attending my going away instead !,0,negative,train
grabbing coffee from then making mom breakfast,1,neutral,train
thanks . before the major chop .,1,neutral,train
really great day,2,positive,train
"i 'm come back home , my past job , its really good time for me",2,positive,train
my phone passed away yesterday .. he jumped off the table searching for a new phone ...,0,negative,train
no waterfront anymore faccia luna and clarendon will have to do,0,negative,train
"ahhh , i slept through the game . i ` m gon na try my best to watch tomorrow though . i hope we play army .",1,neutral,train
i need coffee too .,1,neutral,train
both of you,1,neutral,train
cant wait to see my boy tomorrow,2,positive,train
writing report cards soooo tired but what an amazing day . check it out on fb soon !,2,positive,train
i ` m soooooo sleeeeepy ! ! ! the last day o ` school was today .... sniffle ....,0,negative,train
"bathing with two little angels , keyla and janice .",1,neutral,train
"errors are red but my life is blue , i love rose and your lips baby",2,positive,train
"family is here , hanging with them",1,neutral,train
smelly ? noooo . i love alex vixon,1,neutral,train
i sure do hope it becomes 4:20 this afternoon ...,2,positive,train
congratulations ! you guys finish a month early than we do . booo,2,positive,train
"if u do , please pray 4 me . lord knows i need it .",1,neutral,train
"and to you too , how are you today ?",1,neutral,train
"my sunburn is peeling ,",0,negative,train
do n't angry me,0,negative,train
"yesterday i 'm watch a movie , that ’ s was really motivated for me",2,positive,train
in arch . drawing . checking out mvcc ` s cad degree . looks good to me,2,positive,train
the exception for a short dude,1,neutral,train
him shirt at dinner ? do you need to ask ? ? does it actually have ville on it ?,1,neutral,train
hahahha lol true that ! i always remember my bd but i can never remember what date or even day it is,1,neutral,train
"it ` s a peter & gordon morning - > and i , go to pieces and i wan na hide / go to pieces and i almost die /",1,neutral,train
i 'm start learning machine learning,1,neutral,train
not sure it didn ` t say it was 2 big . i jst saw the pics of u on ur last bday . you looked so pretty ! !,1,neutral,train
im thinking that im going to have fun tonight .... and maybe some changes are coming,2,positive,val
why kiss the feet of the people who kick you when you can be anything that you want to ? morning everyone ! hope you have the best day ever,2,positive,val
bad day the day you realize what mess you ` ve put me through will be one of the happiest days of my life ...,1,neutral,val
_30439 i really wish i could go !,2,positive,val
"- before they put a camera in the smokers pit . i can no longer vandalize that door , without being caught .",1,neutral,val
sorry to hear ur flight got cancelled that blows ! ! !,0,negative,val
hell yeah !,1,neutral,val
"happy b-day ! just woke up on this side of earth , so wishes are bit late",2,positive,val
i love to ! but i ` m only available from 5pm . and where dear ?,2,positive,val
australia cricket team i love you,2,positive,val
i ` ve been sick for the past few days,1,neutral,val
"morning ! if i get to see it , i ` ll let you know . right now , i ` m going to go see wolverine .",1,neutral,val
i ` m not sleeping at all until accepts my appology,0,negative,val
"home until tomorrow . did my running and spinning . now time for chiropractor , laundry , shopping , and visiting family . missing nathan",0,negative,val
"hmmm , maybe that ` s what they meant . they eluded to something brand new but you know how the media is",1,neutral,val
i am tres depressed,0,negative,val
i can ` t believe you went and got boba without me .,1,neutral,val
juss came back from barisal,1,neutral,val
"follow me , i will follow you too",1,neutral,val
"live that ` s what i want . more the better . bound to be a few bad eggs though , but they will soon learn .",1,neutral,val
yes i work 9 to 5,1,neutral,val
i know ! !,1,neutral,val
i hate the dentist,0,negative,val
im not bannished ... but i am at work till 6,0,negative,val
let me know how that turns out ! !,1,neutral,val
im not bannished ... but i am at work till 6,0,negative,val
perky purple nail polish isn ` t as perky when its chipped,1,neutral,val
twittering after 2 days !,1,neutral,val
"is hungry , twitter . i want food .",1,neutral,val
my boss . she ` s moving to nyc,1,neutral,val
i ' watching a movie name adimurie,2,positive,val
"yep , finished , chocked full of spelling and grammatical errors , but i ` m cleaning it up tomorrow and popping it up hehe",0,negative,val
which means you ` re just going to have to come back to vancouver and have it our way ! hahah,1,neutral,val
"yes , i love tea . if that makes me typically english then so be it",2,positive,val
is getting the hang of twitter .,1,neutral,val
laying in bed til workkk ... oh the life . definitely pinched a nerve .,0,negative,val
awesome lucky you,2,positive,val
dosen ` t want to go to work tomorrow,0,negative,val
walking to class . i hate not having a bike .... especially mine .,0,negative,val
lol dammit well then next time then,0,negative,val
yes it does . please dont ` go . if you die i will cry .. which normally leads to small animals getting harmed,0,negative,val
"playing with kids , its amazing",2,positive,val
"i buy sophie 's world book , i 'm really so happy",2,positive,val
feeling smooth like chrome,2,positive,val
we attend in the class just for listening teachers reading on slide . just nonsence,0,negative,val
why not now you made me sad i thought you ` d be jumping for joy,1,neutral,val
i ` ve heard this fall . i ` m waiting too !,1,neutral,val
happy father ` s day to all the father in the world .,2,positive,val
no it ` s not sad . should make you proud,0,negative,val
ok so i ` ve now got a bit of a bad back after lifting all drum hardware into my car downer .,0,negative,val
just got up and updated my ipod,1,neutral,val
if it is any consolation i got my bmi tested hahaha it says i am obesed well so much for being unhappy for about 10 minutes .,0,negative,val
slipped up and caught the flu feeling like poop !,0,negative,val
romance zero is funny,2,positive,val
"follow me , i will follow you too",1,neutral,val
fil 461 with cool people like me,2,positive,val
i agree with you !,2,positive,val
the plan to not spend money is not going well,0,negative,val
just got home from work,1,neutral,val
"i want to wake up early , and get a coffee tomorrow ( today ) ! it ` s going to be a busyy day ! but have to keep",1,neutral,val
_2nd aww thanks !,2,positive,val
"haha i know , i cant handle the fame ! and thank you !",2,positive,val
getting ready for week its too nice today to be stuck inside working !,2,positive,val
sore throat . planning the tet outing to marwell though ... good times,1,neutral,val
"went to a party last night . dindin and i showed up in matching outfits ) great minds think alike ) anyway , happy birthday , ate lara",2,positive,val
"laughs i ` m glad that you have self confidence - it ` s a wonderful trait to have i ` ll applaud extra loud for it , okay ?",2,positive,val
"one suggestion for me is , be up to date",1,neutral,val
"back soon , need to run to the shops and cut the grass",1,neutral,val
hope he is ok !,2,positive,val
"it makes me happy to hear a girl talk , or tweet , about the nba . but ... could you give my nuggets some love ? !",2,positive,val
"family is here , hanging with them",1,neutral,val
can ` t school just be done already ? it hurts too much ... seeing him every day,2,positive,val
happy mothers day people . i love my mom a lot still,2,positive,val
'my name is tony ! ! ! ! ! ! ... not hey ! ! ! ! ' - poor tony,0,negative,val
"yeah real hard , but i know you ` ll get by with it ... smile",1,neutral,val
i love to ! but i ` m only available from 5pm . and where dear ?,2,positive,test
_dec0de i finally just have 1 hour of history ... at 3.00 pm ! but i went to my highschool at 8.00 am to make some homework with a friend,1,neutral,test
simple my,1,neutral,test
"i feel sorry , i miss you here in the sea beach",2,positive,test
happy mother ` s day to all moms out there . mothers are our real hero,2,positive,test
"im soo bored , i do n't like this music video",0,negative,test
"if you followed us recently , please dont be offended that we haven ` t followed back . we hit our limit .",2,positive,test
bad day the day you realize what mess you ` ve put me through will be one of the happiest days of my life ...,1,neutral,test
i think i need some new friends,1,neutral,test
u think u have bills ha ! ii just finished paying mine that ` s y i ` m broke,0,negative,test
needs more followers,1,neutral,test
bouncing rush makes me feel nauseous,0,negative,test
omg wango tango was * * * * awsome ! i love my baby for taking me,2,positive,test
i miss daddy and mommy,0,negative,test
soooo high,1,neutral,test
always somewhere i miss you where i have been,1,neutral,test
went to sleep and there is a power cut in the village .,1,neutral,test
"you ` re missing out , bb ! i ` m such a cereal nut , i think i like every kind available .",2,positive,test
"i 'm come back home , my past job , its really good time for me",2,positive,test
i make that same face when i get home and your mom is watching soaps .,1,neutral,test
my son got stung by a bug for the first time his little finger is slightly swollen .,0,negative,test
thanks,2,positive,test
if only we could ever actually be allowed to stay here and do that,1,neutral,test
mayday ? !,1,neutral,test
"its night 2 am , feeling neutral",1,neutral,test
"actually , i wish i was back in tahoe . i miss it there .",0,negative,test
"doing pretty well , up and wide awake",2,positive,test
i ` m not sleeping at all until accepts my appology,0,negative,test
whens the sway sway winner announced ?,1,neutral,test
i just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat .,0,negative,test
took a shift tomorrow . i don ` t really feel like working right now .,0,negative,test
was that sass i detect ? as long as it isn ` t back sass ! haha,1,neutral,test
today first time i arrive in the boat . its amazing journey,2,positive,test
"well good morning all , what a wonderful day in the neighborhood thanks for all those that are now following another 60 this morning",2,positive,test
i ` m 25 in december that ` s not good at all next big birthday is 30 after 21 it flys by for sure,0,negative,test
it was hours ago i came in .... and it ` s only now i realised when i went to buy something online,1,neutral,test
you know you want to come keep me company whilst mum ` s at her friends for the night it ` s such a nice evening !,2,positive,test
was hoping to go to red lobster this weekend,1,neutral,test
i ` m so hunrgy right now and these heels kill me i can hardly walk in them,0,negative,test
love is something like e=mc^2 rules,1,neutral,test
is spending her saturday morning taking notes for a research essay because some stupid * * * * recalled the book i ` m using . not fair,0,negative,test
juss came back from barisal,1,neutral,test
thx,1,neutral,test
my semester final exam is complete . hurray ! ! !,2,positive,test
i love blue and programming,1,neutral,test
